þÿTipo esercizio storico pe;Insegna;Ubicazione;Tipo via;Descrizione via;Civico;Codice via;ZD;Forma commercio;Forma commercio prev;Forma vendita;Settore storico pe;Superficie somministrazione
bar caffÿý;;"CSO COMO N. 2 ; isolato:322; accesso: accesso esterno; (z.d. 9)";CSO;COMO;2;1111;9;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Disco-piano-americ.bar serali;BAR CAFFÿý";114
bar caffÿý;;"CSO CONCORDIA N. 16 ; isolato:003; accesso: accesso esterno; (z.d. 4)";CSO;CONCORDIA;16;3116;4;somministrazione/minuto;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý;Cibi cotti preconfezionati;Elettr.Automatici Meccaniche";50
bar caffÿý;;"CSO DI PORTA ROMANA N. 119 ; isolato:038; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA ROMANA;119;402;1;solo somministrazione;somministrazione;al banco;"Giochi Legge 388/2000;BAR CAFFÿý E SIMILI;Bar gastronomici e simili;BAR CAFFÿý;Tavola fredda";37
bar caffÿý;;"CSO DI PORTA ROMANA N. 128 ; isolato:039; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA ROMANA;128;402;1;solo somministrazione;somministrazione;misto;"Cibi cotti preconfezionati;BAR CAFFÿý;Bar gastronomici e simili;Tavola fredda;BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.";60
bar caffÿý;;"CSO DI PORTA ROMANA N. 1 ;cso di porta romana 001; isolato:394; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA ROMANA;1;402;1;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Cibi cotti preconfezionati;BAR CAFFÿý E SIMILI;Tavola fredda";28
bar caffÿý;;"CSO DI PORTA ROMANA N. 2 ;cso di porta romana 002; isolato:395; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA ROMANA;2;402;1;somministrazione/minuto;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Bar pasticc.gelat.crem.creper.;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Tavola fredda";53
bar caffÿý;;"CSO DI PORTA ROMANA N. 79 ;cso di porta romana 079; isolato:116; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA ROMANA;79;402;1;somministrazione/minuto;somministrazione;al banco;"Tavola fredda;Bar gastronomici e simili;BAR CAFFÿý";24
bar caffÿý;;"CSO DI PORTA ROMANA N. 80 ;cso di porta romana 080; isolato:205; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA ROMANA;80;402;1;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;Bar gastronomici e simili;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Prodotti di gastronomia";47
bar caffÿý;;"CSO DI PORTA TICINESE N. 1 ;cso di porta ticinese 001; isolato:334; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA TICINESE;1;541;1;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Tavola fredda";29
bar caffÿý;;"CSO DI PORTA TICINESE N. 1 ;cso di porta ticinese 001; isolato:334; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA TICINESE;1;541;1;solo somministrazione;somministrazione;al banco;"Tavola fredda;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý";57
bar caffÿý;;"CSO DI PORTA VIGENTINA N. 32 ; isolato:119; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA VIGENTINA;32;4026;1;solo somministrazione;somministrazione;al banco;"Prodotti di gastronomia;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.";44
bar caffÿý;;"CSO DI PORTA VITTORIA N. 50 ; isolato:033; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA VITTORIA;50;3016;1;solo somministrazione;somministrazione;al banco;"Cibi cotti preconfezionati;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili";30
bar caffÿý;;"CSO DI PORTA VITTORIA N. 58 con ing.p.zza cinque giornate; isolato:033; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA VITTORIA;58;3016;1;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;Gelateria";17
bar caffÿý;;"CSO DI PORTA VITTORIA N. 5 ; isolato:267; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA VITTORIA;5;3016;1;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Cibi cotti preconfezionati";57
bar caffÿý;;"CSO EUROPA N. 10 ;cso europa 010; isolato:317; accesso: accesso esterno; (z.d. 1)";CSO;EUROPA;10;300;1;solo somministrazione;somministrazione;misto;"Tav.calde,self service,fast f.;Pizzerie e simili;BAR CAFFÿý;Tavola calda;Pizzeria;Bar gastronomici e simili";112
bar caffÿý;;"CSO GARIBALDI GIUSEPPE N. 104 ; isolato:086; accesso: accesso esterno; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;104;1010;1;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili";110
bar caffÿý;;"CSO GARIBALDI GIUSEPPE N. 115 ; isolato:004; accesso: accesso esterno; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;115;1010;1;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý E SIMILI;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Wine,birr.,pub enot.,caff.,the";82
bar caffÿý;;"CSO GARIBALDI GIUSEPPE N. 55 con ingresso da v.anfiteatro 4; accesso: accesso esterno; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;55;1010;1;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý E SIMILI;BAR CAFFÿý;Tavola fredda;Wine,birr.,pub enot.,caff.,the;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;Bar gastronomici e simili";60
bar caffÿý;;"CSO GARIBALDI GIUSEPPE N. 89 ; isolato:081; accesso: accesso esterno; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;89;1010;1;solo somministrazione;somministrazione;al banco;"Wine,birr.,pub enot.,caff.,the;BAR CAFFÿý;Bar gastronomici e simili;Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Bar gastronomici e simili;BAR CAFFÿý E SIMILI";100
bar caffÿý;;"CSO GENOVA N. 11 ; isolato:217; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;11;5164;1;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý E SIMILI;BAR CAFFÿý;Tavola fredda;Giochi Legge 388/2000";38
bar caffÿý;;"CSO GENOVA N. 17 ; isolato:132; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;17;5164;1;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Tavola fredda;Bar pasticc.gelat.crem.creper.;Genere Merceol.Autorizz.Sanit.";36
bar caffÿý;;"CSO GENOVA N. 19 ; isolato:132; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;19;5164;1;solo somministrazione;somministrazione;misto;"Prodotti di gastronomia;BAR CAFFÿý;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.";68
bar caffÿý;;"CSO GENOVA N. 1 ; isolato:219; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;1;5164;1;somministrazione/minuto;somministrazione;al banco;"Bar pasticc.gelat.crem.creper.;BAR CAFFÿý;BAR CAFFÿý E SIMILI";110
bar caffÿý;;"CSO GENOVA N. 26 ; isolato:058; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;26;5164;1;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Prodotti di gastronomia;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";64
bar caffÿý;;"CSO GENOVA N. 7 ; isolato:217; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;7;5164;1;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI";26
bar caffÿý;;"CSO INDIPENDENZA N. 14 ; isolato:006; accesso: accesso esterno; (z.d. 4)";CSO;INDIPENDENZA;14;3118;4;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;Tavola fredda;Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFFÿý";40
bar caffÿý;;"CSO INDIPENDENZA N. 25 ; isolato:179; accesso: accesso esterno; (z.d. 3)";CSO;INDIPENDENZA;25;3118;3;somministrazione/minuto;somministrazione;al banco;"BAR CAFFÿý;BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia";115
bar caffÿý;;"CSO INDIPENDENZA N. 5 ; isolato:177; accesso: accesso esterno; (z.d. 3)";CSO;INDIPENDENZA;5;3118;3;somministrazione/minuto;somministrazione;al banco;"BAR CAFFÿý;Cibi cotti preconfezionati;Tavola fredda";32
bar caffÿý;;"CSO ITALIA N. 14 angolo piazza bertarelli 4;pza bertarelli luigi vittorio 004; isolato:331; accesso: accesso esterno; (z.d. 1)";CSO;ITALIA;14;526;1;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;Gelateria;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;Licenza giochi leciti/elettr..";38
bar caffÿý;;"CSO ITALIA N. 40 ;cso italia 040; isolato:476; accesso: accesso esterno; (z.d. 1)";CSO;ITALIA;40;526;1;solo somministrazione;somministrazione;misto;"BAR CAFFÿý E SIMILI;Tavola calda;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria";95
bar caffÿý;;"CSO LODI N. 103 ; isolato:026; accesso: accesso esterno; (z.d. 4)";CSO;LODI;103;4068;4;solo somministrazione;somministrazione;al banco;"Cibi cotti preconfezionati;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Tavola fredda";50
bar caffÿý;;"CSO LODI N. 105 ; isolato:026; accesso: accesso esterno; (z.d. 4)";CSO;LODI;105;4068;4;solo somministrazione;somministrazione;misto;"Ristorante, trattoria, osteria;BAR CAFFÿý;Ristorante;Genere Merceol.Autorizz.Sanit.";180
bar caffÿý;;"CSO LODI N. 108 ; isolato:050; accesso: accesso esterno; (z.d. 4)";CSO;LODI;108;4068;4;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Prodotti di gastronomia";28
bar caffÿý;;"CSO LODI N. 113 ; isolato:053; accesso: accesso esterno; (z.d. 4)";CSO;LODI;113;4068;4;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Tavola fredda";37
bar caffÿý;;"CSO LODI N. 74 ; isolato:024; accesso: accesso esterno; (z.d. 4)";CSO;LODI;74;4068;4;somministrazione/minuto;somministrazione;al banco;"BAR CAFFÿý;Bar pasticc.gelat.crem.creper.;Tavola fredda";104
bar caffÿý;;"CSO MAGENTA N. 14 ;cso magenta 014; isolato:291; accesso: accesso esterno; (z.d. 1)";CSO;MAGENTA;14;604;1;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Tavola calda;Prodotti di gastronomia;Tav.calde,self service,fast f.";112
bar caffÿý;;"CSO MAGENTA N. 61 int. palazzo congressi;cso magenta 061; isolato:227; accesso: accesso interno; (z.d. 1)";CSO;MAGENTA;61;604;1;solo somministrazione;somministrazione;misto;"Cibi cotti preconfezionati;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Tavola fredda";103
bar caffÿý;;"CSO PLEBISCITI N. 7 ; isolato:177; accesso: accesso esterno; (z.d. 3)";CSO;PLEBISCITI;7;3120;3;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Prodotti di gastronomia;Bar gastronomici e simili;BAR CAFFÿý";34
bar caffÿý;;"CSO PLEBISCITI N. 7 ; isolato:177; accesso: accesso esterno; (z.d. 3)";CSO;PLEBISCITI;7;3120;3;somministrazione/minuto;somministrazione;al banco;"Prodotti di gastronomia;BAR CAFFÿý E SIMILI;Bar gastronomici e simili;BAR CAFFÿý";72
bar caffÿý;;"CSO SAN GOTTARDO N. 13 ; isolato:095; accesso: accesso esterno; (z.d. 5)";CSO;SAN GOTTARDO;13;5203;5;somministrazione/minuto;somministrazione;al banco;BAR CAFFÿý;71
bar caffÿý;;"CSO SAN GOTTARDO N. 35 ; isolato:114; accesso: accesso esterno; (z.d. 5)";CSO;SAN GOTTARDO;35;5203;5;solo somministrazione;somministrazione;al banco;"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";52
bar caffÿý;;"CSO SAN GOTTARDO N. 37 ; isolato:114; accesso: accesso esterno; (z.d. 5)";CSO;SAN GOTTARDO;37;5203;5;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý;Prodotti di gastronomia";53
bar caffÿý;;"CSO SAN GOTTARDO N. 3 ; isolato:095; accesso: accesso esterno; (z.d. 5)";CSO;SAN GOTTARDO;3;5203;5;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;Prodotti di gastronomia;BAR CAFFÿý;Tavola fredda";105
bar caffÿý;;"CSO SEMPIONE N. 10 ; isolato:132; accesso: accesso esterno; (z.d. 1)";CSO;SEMPIONE;10;7137;1;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati";171
bar caffÿý;;"CSO SEMPIONE N. 17 ; isolato:098; accesso: accesso esterno; (z.d. 1)";CSO;SEMPIONE;17;7137;1;solo somministrazione;somministrazione;al banco;"Giochi Legge 388/2000;Bar gastronomici e simili;BAR CAFFÿý;Tavola fredda;Cibi cotti preconfezionati";71
bar caffÿý;;"CSO SEMPIONE N. 49 ; isolato:082; accesso: accesso esterno; (z.d. 8)";CSO;SEMPIONE;49;7137;8;somministrazione/minuto;somministrazione;misto;"GIOCHI DI SOCIETA';Ristorante, trattoria, osteria;Bocce;Carte;Biliardo;Tavola calda;BAR CAFFÿý";125
bar caffÿý;;"CSO SEMPIONE N. 75 ; isolato:039; accesso: accesso esterno; (z.d. 8)";CSO;SEMPIONE;75;7137;8;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Giochi Legge 388/2000;Tavola calda;Bar gastronomici e simili";38
bar caffÿý;;"CSO SEMPIONE N. 77 ; isolato:039; accesso: accesso esterno; (z.d. 8)";CSO;SEMPIONE;77;7137;8;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI";27
bar caffÿý;;"CSO SEMPIONE N. 81 ; isolato:024; accesso: accesso esterno; (z.d. 8)";CSO;SEMPIONE;81;7137;8;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Tavola calda;Giochi Legge 388/2000;BAR CAFFÿý";84
bar caffÿý;;"CSO SEMPIONE N. 8 ; isolato:132; accesso: accesso esterno; (z.d. 1)";CSO;SEMPIONE;8;7137;1;solo somministrazione;somministrazione;misto;"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFFÿý E SIMILI;Disco-piano-americ.bar serali;BAR CAFFÿý;Tavola fredda";343
bar caffÿý;;"CSO VENEZIA N. 21 ;cso venezia 021; isolato:189; accesso: accesso esterno; (z.d. 1)";CSO;VENEZIA;21;238;1;solo somministrazione;somministrazione;misto;"Cibi cotti preconfezionati;BAR CAFFÿý;Bar gastronomici e simili;BAR CAFFÿý E SIMILI";53
bar caffÿý;;"CSO VENTIDUE MARZO N. 23 ; isolato:036; accesso: accesso esterno; (z.d. 4)";CSO;VENTIDUE MARZO;23;3074;4;solo somministrazione;somministrazione;misto;"Cibi cotti preconfezionati;BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Wine,birr.,pub enot.,caff.,the";97
bar caffÿý;;"CSO VENTIDUE MARZO N. 23 ; isolato:037; accesso: accesso esterno; (z.d. 4)";CSO;VENTIDUE MARZO;23;3074;4;somministrazione/minuto;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý;Tavola fredda;Prodotti di gastronomia";65
bar caffÿý;;"CSO VENTIDUE MARZO N. 61 ; isolato:252; accesso: accesso esterno; (z.d. 4)";CSO;VENTIDUE MARZO;61;3074;4;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.";36
bar caffÿý;;"CSO VERCELLI N. 34 ; isolato:216; accesso: accesso esterno; (z.d. 7)";CSO;VERCELLI;34;6193;7;solo somministrazione;somministrazione;misto;"Cibi cotti preconfezionati;BAR CAFFÿý;Bar gastronomici e simili";28
bar caffÿý;;"CSO VITTORIO EMANUELE II N. 15 ;pza san carlo 000; isolato:316; accesso: accesso esterno; (z.d. 1)";CSO;VITTORIO EMANUELE II;15;214;1;solo somministrazione;somministrazione;;"BAR CAFFÿý;Tavola fredda;Bar gastronomici e simili;Seconda bottiglia;Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.";98
bar caffÿý;;"GLL BORELLA GIUSEPPE N. 1 ;gll borella giuseppe 001; isolato:282; accesso: accesso esterno; (z.d. 1)";GLL;BORELLA GIUSEPPE;1;646;1;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;BAR CAFFÿý E SIMILI;Tavola fredda;Genere Merceol.Autorizz.Sanit.";21
bar caffÿý;;"GLL BUENOS AIRES N. 16 ; isolato:060; accesso: accesso esterno; (z.d. 3)";GLL;BUENOS AIRES;16;2146;3;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;Bar gastronomici e simili;Cibi cotti preconfezionati";65
bar caffÿý;;"GLL DEL CORSO N. 2 ;via beccaria cesare 000; accesso: accesso interno; (z.d. 1)";GLL;DEL CORSO;2;305;1;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Cibi cotti preconfezionati";112
bar caffÿý;;"LGO DELLA CROCETTA N. 1 ;cso di porta romana 069; isolato:115; accesso: accesso esterno; (z.d. 1)";LGO;DELLA CROCETTA;1;654;1;somministrazione/minuto;somministrazione;al banco;"Tavola fredda;Bar gastronomici e simili;BAR CAFFÿý";25
bar caffÿý;;"LGO DONEGANI GUIDO N. 3 ; isolato:179; accesso: accesso esterno; (z.d. 1)";LGO;DONEGANI GUIDO;3;1009;1;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;Cibi cotti preconfezionati;Tavola fredda;BAR CAFFÿý";46
bar caffÿý;;"LGO F.LLI CERVI N. 1 ; isolato:343; accesso: accesso esterno; (z.d. 2)";LGO;F.LLI CERVI;1;2218;2;solo somministrazione;somministrazione;al banco;;30
bar caffÿý;;"LGO GALLARATI SCOTTI TOMMASO N. 1 ;lgo gallarati scotti tommaso 001; isolato:333; accesso: accesso esterno; (z.d. 1)";LGO;GALLARATI SCOTTI TOMMASO;1;656;1;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Bar gastronomici e simili;Wine,birr.,pub enot.,caff.,the;Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.";87
bar caffÿý;;"LGO GUERRIERI GONZAGA ANSELMO N. 1 interno merc. comun. coperto; isolato:114; accesso: accesso interno; (z.d. 4)";LGO;GUERRIERI GONZAGA ANSELMO;1;3371;4;solo somministrazione;somministrazione;al banco;"Elettr.Automatici Meccaniche;BAR CAFFÿý;Bar gastronomici e simili;Tavola fredda";9
bar caffÿý;;"LGO LA FOPPA N. 2 ; isolato:086; accesso: accesso esterno; (z.d. 1)";LGO;LA FOPPA;2;1033;1;solo somministrazione;somministrazione;al banco;"Giochi Legge 388/2000;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Giochi Legge 388/2000";34
bar caffÿý;;"LGO LA FOPPA N. 5 ; isolato:004; accesso: accesso esterno; (z.d. 1)";LGO;LA FOPPA;5;1033;1;somministrazione/minuto;somministrazione;al banco;"Tavola calda;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";67
bar caffÿý;;"LGO MURANI ORESTE N. 2 ; isolato:151; accesso: accesso esterno; (z.d. 3)";LGO;MURANI ORESTE;2;3234;3;somministrazione/minuto;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola fredda;Prodotti di gastronomia;Bar pasticc.gelat.crem.creper.;Licenza giochi leciti/elettr..;BAR CAFFÿý E SIMILI;BAR CAFFÿý";33
bar caffÿý;;"LGO PROMESSI SPOSI N. 4 ; isolato:085; accesso: accesso esterno; (z.d. 5)";LGO;PROMESSI SPOSI;4;5415;5;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI";86
bar caffÿý;;"LGO TEL AVIV N. 11 ; isolato:285; accesso: accesso esterno; (z.d. 2)";LGO;TEL AVIV;11;2639;2;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Pizzeria;BAR CAFFÿý;Giochi Legge 388/2000";73
bar caffÿý;;"LGO VULCI N. 5 ; isolato:077; accesso: accesso esterno; (z.d. 9)";LGO;VULCI;5;1339;9;somministrazione/minuto;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Wine,birr.,pub enot.,caff.,the";37
bar caffÿý;;"LGO ZANDONAI RICCARDO N. 3 ; isolato:177; accesso: accesso esterno; (z.d. 8)";LGO;ZANDONAI RICCARDO;3;6485;8;;somministrazione;al banco;"BAR CAFFÿý;Bar pasticc.gelat.crem.creper.;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI";109
bar caffÿý;;"PLE BAIAMONTI ANTONIO N. 4 ; isolato:313; accesso: accesso esterno; (z.d. 9)";PLE;BAIAMONTI ANTONIO;4;7235;9;somministrazione/minuto;somministrazione;al banco;"BAR CAFFÿý;Bar gastronomici e simili;Tavola calda";69
bar caffÿý;;"PLE BAIAMONTI ANTONIO N. 5 ; isolato:068; accesso: accesso esterno; (z.d. 8)";PLE;BAIAMONTI ANTONIO;5;7235;8;solo somministrazione;somministrazione;misto;"Trattoria;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Giochi Legge 388/2000;Pizzeria;Bar gastronomici e simili";54
bar caffÿý;;"PLE BIANCAMANO N. 1 ; isolato:123; accesso: accesso esterno; (z.d. 1)";PLE;BIANCAMANO;1;7083;1;solo somministrazione;somministrazione;al banco;"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Tavola calda";49
bar caffÿý;;"PLE CANTORE ANTONIO N. 4 ; isolato:058; accesso: accesso esterno; (z.d. 1)";PLE;CANTORE ANTONIO;4;5103;1;solo somministrazione;somministrazione;misto;"Prodotti di gastronomia;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Pizzerie e simili;BAR CAFFÿý";163
bar caffÿý;;"PLE CHIESA DAMIANO N. 11 ; isolato:344; (z.d. 8)";PLE;CHIESA DAMIANO;11;7164;8;;;;"BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÿý;Bar gastronomici e simili";35
bar caffÿý;;"PLE CORVETTO LUIGI EMANUELE N. 7 ; isolato:065; accesso: accesso esterno; (z.d. 4)";PLE;CORVETTO LUIGI EMANUELE;7;4174;4;somministrazione/minuto;somministrazione;misto;"Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;BAR CAFFÿý E SIMILI";45
bar caffÿý;;"PLE CUOCO VINCENZO N. 5 ; isolato:130; accesso: accesso esterno; (z.d. 4)";PLE;CUOCO VINCENZO;5;3163;4;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI";28
bar caffÿý;;"PLE DATEO N. 5 ; isolato:180; accesso: accesso esterno; (z.d. 3)";PLE;DATEO;5;3119;3;solo somministrazione;somministrazione;al banco;"Tavola fredda;Giochi Legge 388/2000;BAR CAFFÿý;Cibi cotti preconfezionati";58
bar caffÿý;;"PLE DELLO SPORT N. 6 tribuna secondaria-ipp.galoppo; isolato:175; accesso: accesso esterno; (z.d. 7)";PLE;DELLO SPORT;6;6518;7;solo somministrazione;somministrazione;misto;"Cibi cotti preconfezionati;Pizzeria;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Tavola fredda;Ristorante, trattoria, osteria";180
bar caffÿý;;"PLE DI PORTA LODOVICA N. 2 ; isolato:087; accesso: accesso esterno; (z.d. 5)";PLE;DI PORTA LODOVICA;2;4039;5;somministrazione/minuto;somministrazione;al banco;"Bar gastronomici e simili;Wine,birr.,pub enot.,caff.,the;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Tavola fredda;Bar pasticc.gelat.crem.creper.;Genere Merceol.Autorizz.Sanit.";107
bar caffÿý;;"PLE FERRARA N. 4 ; isolato:119; accesso: accesso esterno; (z.d. 4)";PLE;FERRARA;4;4158;4;solo somministrazione;somministrazione;al banco;"Bocce;BAR CAFFÿý;Giochi Legge 388/2000;Prodotti di gastronomia;Tavola fredda;Bar gastronomici e simili;BAR CAFFÿý E SIMILI";47
bar caffÿý;;"PLE GIOVANNI DALLE BANDE NERE N. 9 ; isolato:211; accesso: accesso esterno; (z.d. 6)";PLE;GIOVANNI DALLE BANDE NERE;9;6614;6;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Tavola fredda;Bar gastronomici e simili";39
bar caffÿý;;"PLE GORINI PAOLO N. 11 ; isolato:148; accesso: accesso esterno; (z.d. 3)";PLE;GORINI PAOLO;11;3170;3;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili";30
bar caffÿý;;"PLE GORINI PAOLO N. 2 ; isolato:162; accesso: accesso esterno; (z.d. 3)";PLE;GORINI PAOLO;2;3170;3;solo somministrazione;somministrazione;al banco;"Bar pasticc.gelat.crem.creper.;Prodotti di gastronomia;Bar gastronomici e simili;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Elettr.Automatici Meccaniche";55
bar caffÿý;;"PLE GOVERNO PROVVISORIO DI LOMBARDIA N. 6 ; isolato:274; accesso: accesso esterno; (z.d. 2)";PLE;GOVERNO PROVVISORIO DI LOMBARDIA;6;2331;2;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Ristorante, trattoria, osteria;Trattoria";79
bar caffÿý;;"PLE LODI N. 7 ; isolato:178; accesso: accesso esterno; (z.d. 4)";PLE;LODI;7;4249;4;solo somministrazione;somministrazione;misto;"BAR CAFFÿý E SIMILI;Bar gastronomici e simili;Ristorante, trattoria, osteria";215
